id,winning_party,points,time_stamp
518,Kontra,5,2025-01-12 13:51:57
519,Re,4,2025-01-12 14:04:46
520,Kontra,4,2025-01-13 13:55:54
521,Re,4,2025-01-13 14:04:28
522,Kontra,1,2025-01-13 14:08:27
523,Re,5,2025-01-13 14:21:19
524,Re,3,2025-01-13 14:27:12
525,Re,5,2025-01-13 16:00:19
526,Kontra,3,2025-01-14 13:28:10
527,Re,1,2025-01-14 13:37:35
528,Re,4,2025-01-14 13:42:18
529,Kontra,6,2025-01-14 13:53:27
530,Kontra,5,2025-01-14 14:01:55
531,Re,2,2025-01-14 14:13:44
532,Kontra,2,2025-01-14 14:21:03
533,Re,3,2025-01-14 14:30:02
534,Re,3,2025-01-14 16:16:26
535,Re,3,2025-01-14 16:27:06
536,Re,1,2025-01-14 16:37:48
537,Re,4,2025-01-14 16:46:44
538,Kontra,4,2025-01-15 11:31:12
539,Re,3,2025-01-15 11:36:34
540,Re,1,2025-01-15 13:40:17
541,Re,3,2025-01-15 13:47:18
542,Re,4,2025-01-15 13:56:32
543,Re,1,2025-01-16 13:34:45
544,Kontra,1,2025-01-16 13:42:45
545,Re,2,2025-01-16 13:49:15
546,Re,4,2025-01-16 14:33:33
547,Kontra,0,2025-01-16 14:43:20
548,Re,4,2025-01-16 14:53:25
549,Kontra,3,2025-01-17 11:05:33
550,Kontra,1,2025-01-17 11:14:48
551,Kontra,1,2025-01-17 13:43:02
552,Re,4,2025-01-17 13:52:59
553,Re,2,2025-01-17 14:02:11
554,Re,4,2025-01-17 15:53:50
555,Kontra,1,2025-01-17 16:03:45
556,Re,3,2025-01-17 16:11:10
557,Re,4,2025-01-17 16:20:58
558,Re,4,2025-01-20 13:38:32
559,Re,8,2025-01-20 13:45:10
560,Kontra,1,2025-01-21 13:03:23
561,Re,5,2025-01-21 13:15:36
562,Kontra,3,2025-01-21 13:27:19
563,Re,2,2025-01-21 13:36:00
564,Re,2,2025-01-21 13:45:59
565,Kontra,4,2025-01-22 13:36:23
566,Re,4,2025-01-22 13:46:08
567,Kontra,3,2025-01-22 13:53:31
568,Re,2,2025-01-22 14:03:26
569,Re,3,2025-01-22 14:09:55
570,Kontra,3,2025-01-22 14:17:32
571,Re,5,2025-01-22 14:25:19
572,Re,2,2025-01-23 14:16:12
573,Re,2,2025-01-23 14:26:39
574,Re,4,2025-01-23 14:34:18
575,Re,2,2025-01-23 14:40:39
576,Re,2,2025-01-23 14:46:06
577,Re,4,2025-01-23 14:54:07
578,Kontra,2,2025-01-24 13:18:34
579,Kontra,3,2025-01-24 13:36:20
580,Kontra,3,2025-01-24 13:45:15
581,Kontra,4,2025-01-24 13:56:15
582,Re,4,2025-01-24 14:05:49
583,Re,1,2025-01-24 14:11:13
584,Re,4,2025-01-24 14:20:07
585,Re,6,2025-01-24 17:10:43
586,Kontra,1,2025-01-24 17:18:03
587,Kontra,3,2025-01-24 17:26:54
588,Re,5,2025-01-24 17:34:19
589,Re,0,2025-01-24 17:48:21
590,Re,5,2025-01-24 17:55:21
591,Re,3,2025-01-24 18:03:46
592,Re,4,2025-01-24 18:13:39
593,Re,4,2025-01-27 13:35:59
594,Kontra,3,2025-01-27 13:43:43
595,Kontra,3,2025-01-27 13:49:30
596,Re,2,2025-01-27 13:57:07
597,Re,2,2025-01-27 14:06:33
598,Re,1,2025-01-28 13:30:38
599,Kontra,5,2025-01-28 13:41:07
600,Re,2,2025-01-28 13:51:22
601,Re,2,2025-01-28 14:03:28
602,Re,2,2025-01-28 14:10:25
603,Re,5,2025-01-28 16:16:37
604,Re,3,2025-01-28 16:17:10
605,Kontra,1,2025-01-28 16:28:33
606,Re,1,2025-01-28 16:42:17
607,Re,0,2025-01-28 16:51:17
608,Re,1,2025-01-28 16:59:27
609,Re,5,2025-01-29 13:42:02
610,Kontra,1,2025-01-29 13:47:23
611,Kontra,5,2025-01-29 13:54:50
612,Re,2,2025-01-29 14:01:05
613,Re,2,2025-01-29 14:09:35
614,Kontra,3,2025-01-29 14:21:12
615,Kontra,0,2025-01-29 16:42:03
616,Re,3,2025-01-29 16:52:15
617,Re,5,2025-01-29 17:00:37
618,Kontra,3,2025-01-29 17:10:38
619,Kontra,3,2025-01-30 13:38:10
620,Re,1,2025-01-30 13:42:19
621,Re,8,2025-01-30 13:50:06
622,Re,2,2025-01-30 13:57:04
623,Re,3,2025-01-30 14:05:17
624,Re,4,2025-01-30 14:13:42
625,Re,0,2025-01-30 21:42:04
626,Kontra,5,2025-01-30 21:50:49
627,Re,3,2025-01-30 21:58:51
628,Re,2,2025-01-30 22:12:18
629,Kontra,2,2025-01-30 22:20:38
630,Re,8,2025-01-30 22:32:09
631,Kontra,1,2025-01-31 13:34:09
632,Re,4,2025-01-31 13:38:21
633,Kontra,3,2025-01-31 13:46:07
634,Kontra,4,2025-01-31 13:52:13
635,Re,2,2025-01-31 13:59:41
636,Re,0,2025-01-31 14:07:58
637,Re,3,2025-01-31 16:59:58
638,Kontra,1,2025-01-31 17:13:04
639,Kontra,5,2025-01-31 17:22:09
640,Re,1,2025-02-03 13:40:05
641,Re,7,2025-02-03 13:46:08
642,Re,6,2025-02-03 13:57:08
643,Re,1,2025-02-03 14:08:47
644,Re,5,2025-02-03 14:17:40
645,Re,3,2025-02-03 16:51:19
646,Kontra,4,2025-02-03 16:59:44
647,Re,4,2025-02-03 17:06:34
648,Re,2,2025-02-03 17:15:28
649,Kontra,3,2025-02-03 17:23:57
650,Re,3,2025-02-04 13:04:42
651,Re,3,2025-02-04 13:12:49
652,Kontra,2,2025-02-04 13:21:41
653,Kontra,5,2025-02-04 13:30:26
654,Kontra,3,2025-02-04 13:38:57
655,Re,3,2025-02-04 13:45:36
656,Re,1,2025-02-04 16:28:39
657,Re,5,2025-02-04 16:34:26
658,Re,3,2025-02-04 16:40:46
659,Kontra,1,2025-02-04 16:49:29
660,Re,6,2025-02-04 16:57:06
661,Re,6,2025-02-04 17:05:16
662,Re,0,2025-02-04 17:16:21
663,Re,9,2025-02-05 14:08:00
664,Re,7,2025-02-05 14:13:46
665,Re,2,2025-02-05 14:20:33
666,Kontra,-1,2025-02-05 14:27:00
667,Re,6,2025-02-06 14:18:44
668,Kontra,5,2025-02-06 14:26:17
669,Re,4,2025-02-06 14:36:54
670,Kontra,1,2025-02-06 14:56:14
671,Re,0,2025-02-07 12:23:40
672,Re,1,2025-02-07 13:25:28
673,Re,3,2025-02-07 13:26:20
