round_id,team_id,position,party
244,26,4,Re
245,55,1,Kontra
245,21,2,Re
245,3,3,Kontra
245,26,4,Kontra
246,55,1,Re
246,21,2,Kontra
246,3,3,Kontra
246,26,4,Re
247,14,1,Re
247,21,2,Kontra
247,3,3,Kontra
247,26,4,Re
248,21,1,Re
248,1,2,Kontra
248,17,3,Re
248,4,4,Kontra
249,21,1,Kontra
249,1,2,Re
249,17,3,Kontra
249,4,4,Re
250,21,1,Re
250,1,2,Re
250,17,3,Kontra
250,4,4,Kontra
251,21,1,Re
251,1,2,Kontra
251,17,3,Re
251,4,4,Kontra
252,21,1,Re
252,1,2,Re
252,17,3,Kontra
252,4,4,Kontra
253,55,1,Kontra
253,23,2,Kontra
253,19,3,Re
253,49,4,Kontra
254,55,1,Re
254,23,2,Kontra
254,19,3,Re
254,49,4,Kontra
255,55,1,Kontra
255,23,2,Kontra
255,19,3,Kontra
255,49,4,Re
256,55,1,Re
256,23,2,Kontra
256,19,3,Re
256,49,4,Kontra
257,21,1,Re
257,4,2,Re
257,17,3,Kontra
257,3,4,Kontra
258,48,1,Re
258,25,2,Kontra
258,21,3,Kontra
258,58,4,Re
259,48,1,Re
259,25,2,Kontra
259,16,3,Kontra
259,58,4,Kontra
260,48,1,Re
260,25,2,Kontra
260,16,3,Kontra
260,58,4,Re
261,48,1,Kontra
261,25,2,Re
261,16,3,Re
261,58,4,Kontra
262,48,1,Kontra
262,25,2,Re
262,16,3,Kontra
262,4,4,Kontra
263,17,1,Kontra
263,1,2,Re
263,3,3,Kontra
263,4,4,Re
264,8,1,Re
264,21,2,Re
264,2,3,Kontra
264,3,4,Kontra
265,8,1,Re
265,21,2,Kontra
265,2,3,Re
265,3,4,Kontra
266,8,1,Kontra
266,21,2,Re
266,2,3,Kontra
266,3,4,Re
267,8,1,Kontra
267,21,2,Kontra
267,2,3,Re
267,3,4,Re
268,1,1,Re
268,2,2,Kontra
268,20,3,Kontra
268,11,4,Kontra
269,1,1,Kontra
269,2,2,Re
269,20,3,Re
269,11,4,Kontra
270,1,1,Kontra
270,2,2,Re
270,20,3,Kontra
270,11,4,Re
271,26,1,Kontra
271,25,2,Re
271,59,3,Re
271,3,4,Kontra
272,26,1,Kontra
272,1,2,Kontra
272,33,3,Re
272,3,4,Re
273,32,1,Re
273,22,2,Kontra
273,33,3,Kontra
273,3,4,Re
274,26,1,Re
274,1,2,Kontra
274,22,3,Kontra
274,3,4,Re
275,26,1,Re
275,1,2,Re
275,22,3,Kontra
275,3,4,Kontra
276,26,1,Re
276,1,2,Kontra
276,22,3,Re
276,3,4,Kontra
277,60,1,Re
277,40,2,Kontra
277,17,3,Kontra
277,1,4,Re
278,60,1,Kontra
